Team,Drives,TO,Yards,Start,Pts,TotPts,Pts/G
Arizona Cardinals,179,11.7,34.4,29.1,2.3,410,25.625
Atlanta Falcons,174,10.3,33.8,28.1,2.26,396,24.75
Baltimore Ravens,170,10.6,34.1,31.9,2.56,468,29.25
Buffalo Bills,170,11.8,37.3,30.7,2.8,501,31.3125
Carolina Panthers,159,13.2,35.1,28.5,2.09,350,21.875
Chicago Bears,175,12,30.3,30.5,2.03,372,23.25
Cincinnati Bengals,179,12.8,28.4,28,1.7,311,19.4375
Cleveland Browns,165,9.7,35.6,28.1,2.38,408,25.5
Dallas Cowboys,180,14.4,32.9,28.5,2.08,395,24.6875
Denver Broncos,188,17,28.4,26.9,1.71,323,20.1875
Detroit Lions,169,11.2,33,28.3,2.2,377,23.5625
Green Bay Packers,161,5.6,38.6,28.8,3.08,509,31.8125
Houston Texans,163,9.8,36.8,26.7,2.34,384,24
Indianapolis Colts,171,8.8,35.4,30.2,2.36,451,28.1875
Jacksonville Jaguars,171,14,30.5,26.5,1.71,306,19.125
Kansas City Chiefs,163,9.2,40.7,28.2,2.74,473,29.5625
Las Vegas Raiders,169,14.8,36.2,29.5,2.57,434,27.125
Los Angeles Chargers,175,8.6,34.8,26.6,2.13,384,24
Los Angeles Rams,184,12.5,32.7,27.9,1.88,372,23.25
Miami Dolphins,181,11,30,29.7,2.1,404,25.25
Minnesota Vikings,176,12.5,35.7,26.2,2.44,430,26.875
New England Patriots,157,12.1,33.1,28.5,1.92,326,20.375
New Orleans Saints,178,9,33.9,32,2.67,482,30.125
New York Giants,167,12.6,28.7,29.2,1.6,280,17.5
New York Jets,175,10.9,25.6,26.4,1.36,243,15.1875
Philadelphia Eagles,190,15.3,28.1,27.2,1.66,334,20.875
Pittsburgh Steelers,188,8.5,28.4,30.8,2.12,416,26
San Francisco 49ers,182,14.8,32.6,27.4,2.05,376,23.5
Seattle Seahawks,178,10.1,33.1,31.1,2.57,459,28.6875
Tampa Bay Buccaneers,180,8.9,34.1,31,2.72,492,30.75
Tennessee Titans,167,7.2,37.7,28.7,2.87,491,30.6875
Washington Football Team,183,13.1,27.7,28.4,1.74,335,20.9375